term_id,is_a_id
2,1507
3,107
5,1
7,5
77,10935
79,119
107,12210
118,1
119,118
152,118
234,152
271,234
309,271
316,100886
356,31703
359,31703
364,31704
365,364
370,31703
383,4426
384,383
384,10609
405,365
405,11452
407,365
407,11389
478,118
479,1098
481,4328
504,12373
505,504
556,479
568,8056
568,100887
587,1098
589,12372
593,4328
598,118
601,100886
951,1574
953,1000
1000,11121
1010,1000
1028,100742
1098,4329
1103,479
1507,118
1574,118
1626,118
2597,1626
2664,118
4328,12372
4329,12372
4426,309
4467,100277
5306,1028
7754,556
7754,1103
8056,12372
10609,11355
10935,79
11121,951
11276,2597
11276,11354
11354,11121
11355,11121
11389,359
11452,370
11793,2664
12210,77
12372,478
12373,478
31703,598
31704,598
100276,11355
100277,383
100277,100276
100742,2597
100742,11793
100886,12372
100887,12372
